Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-08-31),Price Override,Watchlist,Date Added,Notes
Main,Magic: The Gathering,Unique and Miscellaneous Promos,"Gwenom, Remorseless",286,P,Foil,Ungraded,Near Mint,0,2,3.93,0,false,2026-08-18,
Main,One Piece,Carrying On His Will,Monkey.D.Luffy (118) (Manga),OP13-118,SEC,Foil,PSA 10.0 GEM - MT,Near Mint,4548.1592,1,"4,405.99",0,false,2026-08-18,
Main,Pokemon,Ascended Heroes,Mega Diancie ex,267/217,Mega Attack Rare,Holofoil,Ungraded,Near Mint,0,1,6.81,0,false,2026-08-07,
Main,Pokemon,Ascended Heroes,Mega Dragonite ex,271/217,Mega Attack Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,157.49,0,false,2026-08-20,
Main,Pokemon,Ascended Heroes,Pikachu ex,276/217,Special Illustration Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,2096.4172,1,"2,161.85",0,false,2026-08-18,
Main,Pokemon,Ascended Heroes,Pikachu ex,277/217,Special Illustration Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,1152.5800,1,953.73,0,false,2026-08-07,
Main,Pokemon,Brilliant Stars Trainer Gallery,Houndoom,TG10/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,3.13,0,false,2026-08-13,
Main,Pokemon,Celebrations: Classic Collection,Dark Gyarados,8/82,Classic Collection,Holofoil,Ungraded,Near Mint,0,2,5.55,0,false,2026-08-07,
Main,Pokemon,Celebrations: Classic Collection,Shining Magikarp,66/64,Classic Collection,Holofoil,Ungraded,Near Mint,0,1,37.72,0,false,2026-08-07,
Main,Pokemon,Chaos Rising,Mega Dragalge ex,104/086,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,2.77,0,false,2026-08-07,
Main,Pokemon,Cosmic Eclipse,Pikachu (Secret),241/236,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,168.65,0,false,2026-08-29,
Main,Pokemon,Crown Zenith: Galarian Gallery,Entei V,GG36/GG70,Ultra Rare,Holofoil,Ungraded,Near Mint,42.4140,1,73.15,0,false,2026-08-07,
Main,Pokemon,Crown Zenith: Galarian Gallery,Glaceon VSTAR,GG40/GG70,Ultra Rare,Holofoil,TAG 10.0 GEM MINT,Near Mint,282.5999,1,217.86,0,false,2026-08-10,
Main,Pokemon,Crown Zenith: Galarian Gallery,Mewtwo VSTAR,GG44/GG70,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,740.0000,1,567.61,0,false,2026-08-07,
Main,Pokemon,Crown Zenith: Galarian Gallery,Raikou V,GG41/GG70,Ultra Rare,Holofoil,Ungraded,Near Mint,70.6900,1,58.51,0,false,2026-08-07,
Main,Pokemon,Crown Zenith: Galarian Gallery,Suicune V,GG38/GG70,Ultra Rare,Holofoil,Ungraded,Near Mint,56.5520,1,92.41,0,false,2026-08-07,
Main,Pokemon,Deck Exclusives,"Charizard (Let's Play, Eevee!)",003/070,Rare,Normal,PSA 10.0 GEM - MT,Near Mint,0,1,183.39,0,false,2026-08-16,
Main,Pokemon,Deck Exclusives,Gengar (XY BREAKthrough),060/162,Rare,Normal,PSA 9.0 MINT,Near Mint,0,1,0,0,false,2026-08-29,
Main,Pokemon,Evolutions,Mew,53/108,Holo Rare,Holofoil,Ungraded,Near Mint,28.2520,1,31.88,0,false,2026-08-16,
Main,Pokemon,Evolving Skies,Dragonite V (Alternate Full Art),192/203,Ultra Rare,Holofoil,TAG 10.0 GEM MINT,Near Mint,1342.3494,1,"1,237.29",0,false,2026-08-10,
Main,Pokemon,Gem Pack Vol. 3,Cubone (Full Art) (CN),0407/07,Art Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,650.0000,1,678.09,0,false,2026-08-07,
Main,Pokemon,GG End,Pikachu (JP),009/054,Common,Normal,Ungraded,Near Mint,8.4759,2,13.48,0,false,2026-08-14,; 
Main,Pokemon,Journey Together,N's Reshiram,167/159,Illustration Rare,Holofoil,TAG 10.0 GEM MINT,Near Mint,199.5000,1,178.9,0,false,2026-08-07,
Main,Pokemon,Legendary Treasures: Radiant Collections,Mew EX (Full Art),RC24,Ultra Rare,Holofoil,PSA 9.0 MINT,Near Mint,0,1,"1,309.01",0,false,2026-08-20,
Main,Pokemon,Mega Evolution,Ivysaur,134/132,Illustration Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,135.9000,1,93.17,0,false,2026-08-07,
Main,Pokemon,Mega Evolution Promos,Bulbasaur,037,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,126.5,0,false,2026-08-16,
Main,Pokemon,Mega Evolution Promos,Bulbasaur (Mega Evolution Stamped),133/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,19,0,false,2026-08-07,
Main,Pokemon,Mega Evolution Promos,Charmander,038,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,143.45,0,false,2026-08-16,
Main,Pokemon,Mega Evolution Promos,Mega Charizard X ex,023,Promo,Holofoil,Ungraded,Near Mint,0,1,33.59,0,false,2026-08-07,
Main,Pokemon,Mega Evolution Promos,Squirtle,039,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,130.87,0,false,2026-08-16,
Main,Pokemon,Miscellaneous Cards & Products,Zarude (What's Your Favorite Stamp),056/084,Rare,Holofoil,Ungraded,Near Mint,0.0000,1,27.23,0,false,2026-08-16,
Main,Pokemon,Paldean Fates,Paldean Fates Elite Trainer Box,,,Normal,Ungraded,Near Mint,424.0000,1,446.56,0,false,2026-08-07,
Main,Pokemon,Pitch Black,Armarouge,086/084,Illustration Rare,Holofoil,Ungraded,Near Mint,0,2,4.5,0,false,2026-08-08,
Main,Pokemon,Pitch Black,Dhelmise,091/084,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,3.19,0,false,2026-08-08,
Main,Pokemon,Pitch Black,Fomantis,085/084,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,3.04,0,false,2026-08-08,
Main,Pokemon,Pitch Black,Misty's Vitality,111/084,Ultra Rare,Holofoil,Ungraded,Near Mint,0.0000,1,16.17,0,false,2026-08-07,
Main,Pokemon,Pitch Black,Toucannon,094/084,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,2.67,0,false,2026-08-08,
Main,Pokemon,Prismatic Evolutions,Flareon ex,146/131,Special Illustration Rare,Holofoil,TAG 10.0 GEM MINT,Near Mint,580.2500,1,582.22,0,false,2026-08-07,
Main,Pokemon,Scarlet & Violet Promo,Eevee,173,Promo,Holofoil,Ungraded,Near Mint,0,1,13.19,0,false,2026-08-07,
Main,Pokemon,Scarlet & Violet Promo,Pikachu,027,Promo,Holofoil,Ungraded,Near Mint,0,1,21.12,0,false,2026-08-29,
Main,Pokemon,Sun & Moon Promo,Pikachu & Zekrom GX,SM168,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,2048.8490,1,"3,230.78",0,false,2026-08-10,
Main,Pokemon,Sun & Moon Promos (JP),Sakura's Afro Pikachu (JP),211/SM-P,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,2076.6613,1,"2,101.44",0,false,2026-08-31,
Main,Pokemon,Surging Sparks,Surging Sparks Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,353.0000,1,273.14,0,false,2026-08-07,
Main,Pokemon,Sword & Shield Promo,Charizard (Staff Prerelease),SWSH066,Promo,Holofoil,PSA 9.0 MINT,Near Mint,0,1,654.55,0,false,2026-08-24,
Main,Pokemon,Sword & Shield Promo,Dragapult (Prime),SWSH132,Promo,Holofoil,Ungraded,Near Mint,0,1,12.36,0,false,2026-08-07,
Main,Pokemon,Sword & Shield Promo,Lucario VSTAR,SWSH291,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,117.64,0,false,2026-08-16,
Main,Pokemon,Sword & Shield Promo,Lugia (Prerelease),SWSH069,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,140.27,0,false,2026-08-25,
Main,Pokemon,Sword & Shield Promo,Special Delivery Charizard,SWSH075,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,214.5599,1,"2,132.2",0,false,2026-08-25,
Main,Pokemon,Sword & Shield Promo,Zacian LV. X,SWSH135,Promo,Holofoil,Ungraded,Near Mint,0,1,3.49,0,false,2026-08-13,
Main,Pokemon,Trading Card Game Classic (Japanese),Lapras (JP),008/032,Rare,Holofoil,Ungraded,Near Mint,10.5953,3,8.53,0,false,2026-08-14,
Main,Pokemon,Unified Minds,Raichu & Alolan Raichu GX (Alternate Full Art),221/236,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,2401.4201,1,"2,394.97",0,false,2026-08-16,
Main,Pokemon,VSTAR Universe,Deoxys (JP),185/172,Secret Rare,Holofoil,Ungraded,Near Mint,4.2381,2,9.84,0,false,2026-08-14,; 
Main,Pokemon,WCS23: 2023 World Championships Yokohama Deck: Pikachu,Pikachu ex,001/030,Promo,Holofoil,PSA 10.0 GEM - MT,Near Mint,812.7000,1,676.92,0,false,2026-08-07,
Main,Pokemon,World Championship Decks,Radiant Greninja - 2024 (Sakuya O.),046/189,Radiant Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,0,0,false,2026-08-16,
Main,Pokemon,XY Promos,Mew,XY192,Promo,Holofoil,PSA 9.0 MINT,Near Mint,746.8606,1,810.33,0,false,2026-08-27,
Main,Pokemon,XY Promos,Pikachu EX,XY124,Promo,Holofoil,PSA 7.0 NM,Near Mint,458.3681,1,550.87,0,false,2026-08-17,
Main,Pokemon,XY Promos,Pikachu EX,XY84,Promo,Holofoil,PSA 8.0 NM - MT,Near Mint,189.5279,1,294.72,0,false,2026-08-25,
